freq_hz,pct_diff,lower_ci,upper_ci
0.0,1.4058697147460646,-0.028400936159029774,2.9566437398627694
0.12549019607843137,13.494219230311566,11.498738238296541,15.738505641566539
0.25098039215686274,16.7366726783759,14.915358442614624,18.60497512873739
0.3764705882352941,17.51422689389817,15.694301223022837,19.30583594027895
0.5019607843137255,17.575232728571404,15.754714929780683,19.355497499998382
0.6274509803921569,17.733163643139612,15.934379115534487,19.517219086648325
0.7529411764705882,18.17171773274792,16.31450634438287,20.083437605578727
0.8784313725490196,17.61645342304176,15.640523832216092,19.542302672896096
1.003921568627451,16.787789339600938,14.75717032589433,18.735414686627955
1.1294117647058823,14.983507978657205,12.935455536600285,16.9728086700472
1.2549019607843137,12.650208134989786,10.61610692839176,14.600289886105744
1.380392156862745,10.521616749258694,8.56595561881596,12.412539886286453
1.5058823529411764,8.482518003292327,6.550730245697556,10.326110246977887
1.6313725490196078,6.610395797345518,4.699776792028037,8.432377119233958
1.7568627450980392,4.592462134633193,2.757323218309169,6.388297392558213
1.8823529411764706,2.994297317995789,1.2392519984533186,4.778337379851727
2.007843137254902,1.6036634283883127,-0.16659657576783887,3.399377321040257
2.1333333333333333,0.5636522967409004,-1.2096547324635591,2.3491616950298564
2.2588235294117647,-0.18584032249833704,-1.9425707444412799,1.576817210066247
2.384313725490196,-0.3229170274525871,-2.06289874885102,1.429557763593792
2.5098039215686274,-0.4863851039759166,-2.2271276298577694,1.2630303839724144
2.635294117647059,-0.4822695426749673,-2.2727712948624537,1.3104680789021428
2.76078431372549,-0.12187389675001992,-1.9438886325771203,1.671360104034799
2.8862745098039215,0.5186990730841622,-1.274952469760782,2.3368751335932503
3.011764705882353,1.3518701585979764,-0.37126428756538676,3.108699138916358
3.1372549019607843,2.2346869484684087,0.5000350172809748,3.991963047159616
3.2627450980392156,3.209987071217683,1.469480724575942,4.953191137877945
3.388235294117647,3.5838947790917492,1.8506996794161894,5.343095128505348
3.5137254901960784,3.88381564031322,2.1403133298098145,5.6583600005061205
3.6392156862745098,3.822560643273973,2.0856770601307852,5.566303329253731
3.764705882352941,4.123913314784687,2.3676083978481737,5.91814659159126
